city,state,category,NumberOfRestaurants
Fairlawn,OH,Chinese,1
Fairlawn,OH,Greek,1
Fairlawn,OH,Indian,4
Fairlawn,OH,Italian,4
Fairlawn,OH,Japanese,2
Fairlawn,OH,Mexican,1
Fairlawn,OH,"Middle Eastern",1
Fairlawn,OH,Thai,1
"Fairport Harbor",OH,"American (Traditional)",2
"Fairport Harbor",OH,Italian,1
Fairview,NC,"American (Traditional)",1
Fairview,NC,Cuban,1
Fairview,NC,Italian,1
"Fairview Park",OH,"American (New)",2
"Fairview Park",OH,"American (Traditional)",5
"Fairview Park",OH,Chinese,1
"Fairview Park",OH,Italian,3
"Fairview Park",OH,Japanese,1
"Fairview Park",OH,Mexican,1
"Fairview Park",OH,"Middle Eastern",1
Farnham,QC,"Canadian (New)",1
Farnham,QC,French,1
Fellbach,BW,"American (Traditional)",1
Fellbach,BW,Chinese,3
Fellbach,BW,French,2
Fellbach,BW,Greek,2
Fellbach,BW,Indian,1
Fellbach,BW,Italian,16
Fellbach,BW,Mexican,1
Fellbach,BW,"Middle Eastern",1
Fellbach,BW,Thai,1
Filderstadt,BW,"American (New)",1
Filderstadt,BW,Chinese,4
Filderstadt,BW,Greek,2
Filderstadt,BW,Italian,6
Filderstadt,BW,Thai,1
Finleyville,PA,"American (New)",1
Finleyville,PA,"American (Traditional)",2
Finleyville,PA,Italian,1
Fisher,IL,"American (Traditional)",1
Fitchburg,WI,"American (New)",5
Fitchburg,WI,"American (Traditional)",12
Fitchburg,WI,Cajun/Creole,1
Fitchburg,WI,Chinese,2
Fitchburg,WI,Greek,1
Fitchburg,WI,Indian,2
Fitchburg,WI,Italian,7
Fitchburg,WI,Japanese,1
Fitchburg,WI,Mexican,9
Fitchburg,WI,Pakistani,1
Fitchburg,WI,Thai,3
"Forest Hills",PA,Italian,1
"Forest Hills",PA,Mexican,1
"Fort McDowell",AZ,"American (New)",2
"Fort McDowell",AZ,"American (Traditional)",1
"Fort McDowell",AZ,Japanese,1
"Fort Mill",SC,"American (New)",23
"Fort Mill",SC,"American (Traditional)",35
"Fort Mill",SC,Cajun/Creole,1
"Fort Mill",SC,Chinese,13
"Fort Mill",SC,French,1
"Fort Mill",SC,Greek,3
"Fort Mill",SC,Italian,15
"Fort Mill",SC,Japanese,6
"Fort Mill",SC,Mexican,15
"Fountain Hills",AZ,"American (New)",11
"Fountain Hills",AZ,"American (Traditional)",11
"Fountain Hills",AZ,Chinese,7
"Fountain Hills",AZ,French,1
"Fountain Hills",AZ,Greek,2
"Fountain Hills",AZ,Italian,13
"Fountain Hills",AZ,Japanese,2
"Fountain Hills",AZ,Mexican,7
"Fountain Hills",AZ,Peruvian,1
"Fountain Hills",AZ,Thai,2
Frazer,PA,"American (New)",3
Frazer,PA,"American (Traditional)",3
Frazer,PA,Indian,1
Frazer,PA,Italian,1
Frazer,PA,Mexican,1
Frazer,PA,"Middle Eastern",1
Frazer,PA,Vietnamese,1
Freyburg,ST,Italian,1
"Ft. Mill",SC,"American (Traditional)",1
"Garfield Heights",OH,"American (New)",2
"Garfield Heights",OH,"American (Traditional)",5
"Garfield Heights",OH,Italian,1
"Garfield Heights",OH,Mexican,2
"Garfield Heights",OH,"Middle Eastern",1
Gastonia,NC,"American (New)",13
Gastonia,NC,"American (Traditional)",31
Gastonia,NC,Chinese,17
Gastonia,NC,Greek,3
Gastonia,NC,Indian,1
Gastonia,NC,Italian,11
Gastonia,NC,Japanese,7
Gastonia,NC,Mexican,24
Gastonia,NC,Thai,1
Gastonia,NC,Vietnamese,1
"Gates Mills",OH,Italian,1
Gelndale,AZ,"American (New)",1
Georgetown,ON,"American (Traditional)",3
Georgetown,ON,"Canadian (New)",5
Georgetown,ON,Chinese,4
Georgetown,ON,Indian,1
Georgetown,ON,Italian,5
Georgetown,ON,Japanese,2
Georgetown,ON,Thai,2
Gerlingen,BW,Chinese,2
Gerlingen,BW,Greek,2
Gerlingen,BW,Italian,6
Gerlingen,BW,Mexican,1
Gerlingen,BW,Vietnamese,1
Gibsonia,PA,"American (New)",4
Gibsonia,PA,"American (Traditional)",7
Gibsonia,PA,Chinese,4
Gibsonia,PA,Italian,3
Gibsonia,PA,Japanese,1
Gibsonia,PA,Mexican,2
Gibsonia,PA,Thai,1
Gifford,IL,"American (New)",1
Gifford,IL,"American (Traditional)",1
Gilbert,AZ,"American (New)",49
Gilbert,AZ,"American (Traditional)",83
Gilbert,AZ,Cajun/Creole,2
Gilbert,AZ,Cantonese,3
Gilbert,AZ,Chinese,24
Gilbert,AZ,Cuban,1
Gilbert,AZ,Ethiopian,1
Gilbert,AZ,French,1
Gilbert,AZ,Greek,8
Gilbert,AZ,Halal,3
Gilbert,AZ,Indian,5
Gilbert,AZ,Italian,47
Gilbert,AZ,Japanese,17
Gilbert,AZ,Korean,2
Gilbert,AZ,Mexican,75
Gilbert,AZ,"Middle Eastern",2
Gilbert,AZ,Pakistani,3
Gilbert,AZ,Thai,10
Gilbert,AZ,Vietnamese,4
Glasgow,EDH,Chinese,1
Glassport,PA,Chinese,1
Glassport,PA,Italian,2
Glendale,AZ,"American (New)",47
Glendale,AZ,"American (Traditional)",86
Glendale,AZ,Cajun/Creole,5
Glendale,AZ,Chinese,40
Glendale,AZ,French,1
Glendale,AZ,Greek,21
Glendale,AZ,Halal,1
Glendale,AZ,Indian,7
Glendale,AZ,Italian,57
Glendale,AZ,Japanese,21
Glendale,AZ,Korean,10
Glendale,AZ,Mexican,113
Glendale,AZ,"Middle Eastern",7
Glendale,AZ,Pakistani,1
Glendale,AZ,Peruvian,1
Glendale,AZ,Thai,9
Glendale,AZ,Vietnamese,9
Glenshaw,PA,"American (New)",5
Glenshaw,PA,"American (Traditional)",3
Glenshaw,PA,Chinese,1
Glenshaw,PA,Greek,1
Glenshaw,PA,Italian,5
Glenshaw,PA,Thai,1
Godmanchester,QC,"Canadian (New)",1
Goodyear,AZ,"American (New)",11
Goodyear,AZ,"American (Traditional)",31
Goodyear,AZ,Cantonese,1
Goodyear,AZ,Chinese,9
Goodyear,AZ,Greek,2
Goodyear,AZ,Indian,1
Goodyear,AZ,Italian,16
Goodyear,AZ,Japanese,8
Goodyear,AZ,Mexican,21
Goodyear,AZ,Thai,3
Goodyear,AZ,Vietnamese,3
Gorebridge,MLN,Indian,1
Grafton,OH,"American (New)",2
Grafton,OH,"American (Traditional)",2
Grafton,OH,Chinese,1
Grafton,OH,Mexican,1
"Grand River",OH,"American (New)",1
"Grand River",OH,"American (Traditional)",2
"Green Valley",NV,"American (New)",1
"Greenfield Park",QC,"American (Traditional)",1
"Greenfield Park",QC,"Canadian (New)",2
"Greenfield Park",QC,French,1
"Greenfield Park",QC,Vietnamese,1
Guadalupe,AZ,"American (Traditional)",1
Guadalupe,AZ,Mexican,5
Haddington,ELN,Indian,1
Haddington,ELN,Pakistani,1
"Hampton Township",PA,"American (New)",1
"Hampton Township",PA,"American (Traditional)",1
"Hampton Township",PA,Chinese,1
Harmarville,PA,"American (New)",1
Harmarville,PA,"American (Traditional)",1
Harmarville,PA,French,1
Harrisburg,NC,"American (New)",5
Harrisburg,NC,"American (Traditional)",4
Harrisburg,NC,Cajun/Creole,1
Harrisburg,NC,Chinese,3
Harrisburg,NC,Halal,1
Harrisburg,NC,Indian,1
Harrisburg,NC,Italian,7
Harrisburg,NC,Japanese,2
Harrisburg,NC,Mexican,3
Harrisburg,NC,Pakistani,1
"Harrison City",PA,"American (New)",2
"Harrison City",PA,"American (Traditional)",1
"Harrison City",PA,Italian,2
Hawthorne,WI,"American (Traditional)",1
Heidelberg,PA,"American (Traditional)",1
Heidelberg,PA,Italian,1
Hemmingen,BW,"American (Traditional)",1
Hemmingen,NI,Chinese,1
Hemmingen,NI,Greek,1
Hemmingen,NI,Italian,2
Henderson,NV,"American (New)",102
Henderson,NV,"American (Traditional)",128
Henderson,NV,Cajun/Creole,3
Henderson,NV,Chinese,49
Henderson,NV,French,8
Henderson,NV,Greek,11
Henderson,NV,Halal,1
Henderson,NV,Indian,1
Henderson,NV,Italian,68
Henderson,NV,Japanese,43
Henderson,NV,Korean,6
Henderson,NV,Mexican,84
Henderson,NV,"Middle Eastern",12
Henderson,NV,Pakistani,1
Henderson,NV,Peruvian,1
Henderson,NV,Thai,20
Henderson,NV,Vietnamese,3
Hendersonville,PA,"American (Traditional)",1
Herminie,PA,"American (New)",1
"Highland Heights",OH,"American (New)",1
"Highland Heights",OH,"American (Traditional)",3
"Highland Heights",OH,Italian,1
"Highland Heights",OH,Japanese,1
"Highland Heights",OH,Mexican,2
Higley,AZ,"American (Traditional)",2
Higley,AZ,Chinese,1
Higley,AZ,Italian,2
Higley,AZ,Japanese,1
Hochdorf,BW,Italian,1
Homer,IL,"American (Traditional)",2
Homer,IL,Italian,1
Homestead,PA,"American (New)",9
Homestead,PA,"American (Traditional)",8
Homestead,PA,Chinese,1
Homestead,PA,French,1
Homestead,PA,Italian,2
Homestead,PA,Japanese,1
Homestead,PA,Mexican,1
Homestead,PA,Thai,1
Homestead,PA,Vietnamese,1
Houston,PA,"American (New)",1
Houston,PA,"American (Traditional)",1
Hudson,OH,"American (New)",14
Hudson,OH,"American (Traditional)",6
Hudson,OH,Chinese,2
Hudson,OH,Indian,1
Hudson,OH,Italian,4
Hudson,OH,Japanese,1
Hudson,OH,Mexican,4
Hudson,OH,"Middle Eastern",1
Hudson,OH,Thai,1
Hudson,QC,"Canadian (New)",1
Hudson,QC,Italian,1
Huntersville,NC,"American (New)",15
Huntersville,NC,"American (Traditional)",25
Huntersville,NC,Cajun/Creole,1
Huntersville,NC,Chinese,10
Huntersville,NC,Greek,2
Huntersville,NC,Italian,14
Huntersville,NC,Japanese,7
Huntersville,NC,Malaysian,1
Huntersville,NC,Mexican,17
Huntersville,NC,Peruvian,1
Huntersville,NC,Thai,5
Huntersville,NC,Vietnamese,1
Imperial,PA,"American (New)",2
Imperial,PA,"American (Traditional)",1
Imperial,PA,Italian,3
Independence,OH,"American (New)",7
Independence,OH,"American (Traditional)",12
Independence,OH,Cajun/Creole,1
Independence,OH,Chinese,2
Independence,OH,Indonesian,1
Independence,OH,Japanese,3
Independence,OH,Mexican,2
Independence,OH,"Middle Eastern",2
Independence,OH,Thai,1
"Indian land",NC,Italian,1
"Indian Land",SC,"American (Traditional)",2
"Indian Land",SC,Chinese,1
"Indian Land",SC,Italian,1
"Indian Land",SC,"Middle Eastern",1
"Indian Trail",NC,"American (New)",3
"Indian Trail",NC,"American (Traditional)",13
"Indian Trail",NC,Cajun/Creole,2
"Indian Trail",NC,Chinese,6
"Indian Trail",NC,Greek,3
"Indian Trail",NC,Italian,7
"Indian Trail",NC,Japanese,3
"Indian Trail",NC,Mexican,7
"Indian Trail",NC,"Middle Eastern",1
"Indian Trail",NC,Thai,2
"Indian Trail",NC,Vietnamese,2
Indianola,PA,Italian,1
Inglewood,ON,"American (New)",1
Inverkeithing,FIF,French,1
Inverness,HLD,"American (New)",4
Inverness,HLD,"American (Traditional)",3
Inverness,HLD,Chinese,2
Inverness,HLD,French,1
Inverness,HLD,Indian,5
Inverness,HLD,Italian,4
Inverness,HLD,Pakistani,3
Inverness,HLD,Thai,1
Irwin,PA,"American (New)",2
Irwin,PA,"American (Traditional)",10
Irwin,PA,Chinese,6
Irwin,PA,Greek,1
Irwin,PA,Italian,12
Irwin,PA,Japanese,1
Irwin,PA,Mexican,4
Irwin,PA,Thai,1
"Jefferson Hills",PA,"American (New)",1
"Jefferson Hills",PA,"American (Traditional)",2
"Jefferson Hills",PA,Italian,1
Joliette,QC,Thai,1
Joliette,QC,Vietnamese,1
"Juniper Green",EDH,Italian,1
Kannapolis,NC,"American (New)",5
Kannapolis,NC,"American (Traditional)",15
Kannapolis,NC,Chinese,7
Kannapolis,NC,Italian,8
Kannapolis,NC,Japanese,5
Kannapolis,NC,Mexican,7
Kannapolis,NC,Thai,2
"Kennedy Township",PA,Italian,1
Kent,OH,"American (New)",15
Kent,OH,"American (Traditional)",20
Kent,OH,Cajun/Creole,1
Kent,OH,Chinese,6
Kent,OH,French,1
Kent,OH,Greek,2
Kent,OH,Indian,1
Kent,OH,Italian,6
Kent,OH,Japanese,2
Kent,OH,Mexican,10
Kent,OH,"Middle Eastern",1
Kent,OH,Thai,1
Kent,OH,Turkish,1
Kent,OH,Vietnamese,1
Kernen,BW,Chinese,1
Kernen,BW,Greek,1
Kernen,BW,Italian,2
"Kernen im Remstal",BW,French,1
"Kernen im Remstal",BW,Greek,2
"Kernen im Remstal",BW,Italian,1
King,ON,"American (Traditional)",1
King,ON,"Canadian (New)",1
King,ON,Chinese,1
King,ON,Italian,1
"King City",ON,"American (Traditional)",1
"King City",ON,"Canadian (New)",2
"King City",ON,French,1
"King City",ON,Italian,4
"King City",ON,Japanese,1
Kirkcaldy,FIF,"American (Traditional)",1
Kirkcaldy,FIF,Indian,2
Kirkcaldy,FIF,Italian,3
Kirkland,QC,"American (Traditional)",1
Kirkland,QC,"Canadian (New)",3
Kirkland,QC,Chinese,2
Kirkland,QC,Greek,1
Kirkland,QC,Italian,5
Kirkland,QC,Japanese,2
Kirkland,QC,Thai,1
Kirkland,QC,Vietnamese,1
Kirtland,OH,"American (New)",1
Kirtland,OH,"American (Traditional)",1
Kirtland,OH,Italian,1
Kleinburg,ON,"Canadian (New)",1
Kleinburg,ON,Italian,2
Korntal-Münchingen,BW,Chinese,1
Korntal-Münchingen,BW,Greek,1
Korntal-Münchingen,BW,Italian,2
Kornwestheim,BW,Greek,5
Kornwestheim,BW,Italian,5
L'assomption,QC,French,1
L'ile-Perrot,QC,"Canadian (New)",1
L'Île-Perrot,QC,Chinese,1
L'Île-Perrôt,QC,Indian,1
L'ile-Perrot,QC,Italian,1
L'Île-Perrot,QC,Thai,1
"La Baie",QC,French,2
"La Prairie",QC,"Canadian (New)",2
"La Prairie",QC,French,2
"La Prairie",QC,Indian,1
"La Prairie",QC,Italian,1
"La Salle",QC,Cuban,1
"La Salle",QC,Italian,1
Lachine,QC,"Canadian (New)",3
Lachine,QC,French,2
Lachine,QC,Italian,7
Lachine,QC,Mexican,1
Lachine,QC,Thai,1
Lachute,QC,"American (Traditional)",1
Lachute,QC,French,2
Lagrange,OH,"American (New)",1
Lagrange,OH,"American (Traditional)",1
"Lake Wylie",SC,"American (New)",1
"Lake Wylie",SC,"American (Traditional)",5
"Lake Wylie",SC,Chinese,3
"Lake Wylie",SC,Italian,1
Lakewood,OH,"American (New)",15
Lakewood,OH,"American (Traditional)",32
Lakewood,OH,Chinese,8
Lakewood,OH,French,1
Lakewood,OH,Greek,4
Lakewood,OH,Indian,2
Lakewood,OH,Italian,6
Lakewood,OH,Japanese,4
Lakewood,OH,Mexican,8
Lakewood,OH,"Middle Eastern",5
Lakewood,OH,Pakistani,1
Lakewood,OH,Thai,4
Lakewood,OH,Vietnamese,1
"Las  Vegas",NV,Mexican,1
"Las  Vegas",NV,Vietnamese,1
"Las Vegas",NV,"American (New)",574
"Las Vegas",NV,"American (Traditional)",774
"Las Vegas",NV,Cajun/Creole,38
"Las Vegas",NV,Cantonese,26
"Las Vegas",NV,Chinese,429
"Las Vegas",NV,Cuban,19
"Las Vegas",NV,Ethiopian,16
"Las Vegas",NV,French,68
"Las Vegas",NV,Greek,53
"Las Vegas",NV,Halal,31
"Las Vegas",NV,Indian,59
"Las Vegas",NV,Italian,388
"Las Vegas",NV,Japanese,340
"Las Vegas",NV,Korean,116
"Las Vegas",NV,Malaysian,5
"Las Vegas",NV,Mexican,758
"Las Vegas",NV,"Middle Eastern",50
"Las Vegas",NV,Pakistani,20
"Las Vegas",NV,Peruvian,10
"Las Vegas",NV,Singaporean,3
"Las Vegas",NV,Thai,148
"Las Vegas",NV,Turkish,3
"Las Vegas",NV,Vietnamese,92
Lasalle,QC,"American (New)",1
Lasalle,QC,"American (Traditional)",1
Lasalle,QC,"Canadian (New)",2
Lasalle,QC,Chinese,2
Lasalle,QC,Greek,2
Lasalle,QC,Indian,1
Lasalle,QC,Italian,5
Lasalle,QC,Japanese,2
Lasalle,QC,"Middle Eastern",1
LaSalle,QC,Thai,1
Lasalle,QC,Vietnamese,2
LasVegas,NV,"American (New)",1
Laval,QC,"American (Traditional)",8
Laval,QC,Cajun/Creole,2
Laval,QC,"Canadian (New)",21
Laval,QC,Chinese,14
Laval,QC,French,19
Laval,QC,Greek,17
Laval,QC,Halal,4
Laval,QC,Indian,3
Laval,QC,Italian,33
Laval,QC,Japanese,13
Laval,QC,Mexican,5
Laval,QC,"Middle Eastern",18
Laval,QC,Pakistani,1
Laval,QC,Thai,10
Laval,QC,Vietnamese,9
"Laval, Pont Viau",QC,Italian,1
Lavaltrie,QC,"Canadian (New)",1
Laveen,AZ,"American (New)",1
Laveen,AZ,"American (Traditional)",5
Laveen,AZ,Chinese,1
Laveen,AZ,Indian,1
Laveen,AZ,Italian,2
Laveen,AZ,Mexican,7
"Laveen Village",AZ,Indian,1
"Laveen Village",AZ,Pakistani,1
Lawrence,PA,Italian,1
Leetsdale,PA,"American (New)",1
Leetsdale,PA,"American (Traditional)",1
Leetsdale,PA,Chinese,1
Leetsdale,PA,Italian,1
Leetsdale,PA,Mexican,1
Leinfelden-Echterdingen,BW,Chinese,2
Leinfelden-Echterdingen,BW,Greek,1
Leinfelden-Echterdingen,BW,Indian,1
Leinfelden-Echterdingen,BW,Italian,12
Leinfelden-Echterdingen,BW,Thai,2
Leinfelden-Echterdingen,BW,Turkish,1
Leinfelden-Echterdingen,BW,Vietnamese,1
Leonberg,BW,Chinese,3
Leonberg,BW,French,1
Leonberg,BW,Greek,2
Leonberg,BW,Indian,1
Leonberg,BW,Italian,4
Leven,FIF,Chinese,1
Liberty,PA,"American (Traditional)",1
Library,PA,"American (Traditional)",2
"Litchfield Park",AZ,"American (New)",2
"Litchfield Park",AZ,"American (Traditional)",7
"Litchfield Park",AZ,Chinese,5
"Litchfield Park",AZ,Italian,5
"Litchfield Park",AZ,Japanese,1
"Litchfield Park",AZ,Mexican,5
"Litchfield Park",AZ,"Middle Eastern",1
Livingston,WLN,"American (New)",1
Livingston,WLN,"American (Traditional)",2
Livingston,WLN,Chinese,2
Livingston,WLN,Indian,3
Livingston,WLN,Italian,2
Livingston,WLN,Japanese,1
Livingston,WLN,Pakistani,1
Loanhead,MLN,Italian,1
Longstone,EDH,Chinese,1
Longueuil,QC,"American (Traditional)",1
Longueuil,QC,Chinese,1
Longueuil,QC,French,7
Longueuil,QC,Indian,3
Longueuil,QC,Italian,6
Longueuil,QC,Japanese,1
Longueuil,QC,"Middle Eastern",1
Longueuil,QC,Peruvian,1
Longueuil,QC,Thai,3
Longueuil,QC,Vietnamese,4
Lorain,OH,"American (New)",5
Lorain,OH,"American (Traditional)",6
Lorain,OH,Chinese,4
Lorain,OH,Italian,3
Lorain,OH,Mexican,4
Lowell,NC,"American (New)",1
Lowell,NC,"American (Traditional)",2
"Lower Burrell",PA,Italian,2
Ludwigsburg,BW,"American (Traditional)",6
Ludwigsburg,BW,Chinese,7
Ludwigsburg,BW,Ethiopian,1
Ludwigsburg,BW,French,4
Ludwigsburg,BW,Greek,5
Ludwigsburg,BW,Indian,3
Ludwigsburg,BW,Italian,19
Ludwigsburg,BW,Mexican,3
Ludwigsburg,BW,Thai,1
Ludwigsburg,BW,Turkish,2
Ludwigsburg,BW,Vietnamese,1
Lyndhurst,OH,"American (New)",5
Lyndhurst,OH,"American (Traditional)",12
Lyndhurst,OH,Chinese,1
Lyndhurst,OH,Italian,4
Lyndhurst,OH,Mexican,2
Lyndhurst,OH,Vietnamese,1
Macedonia,OH,"American (New)",5
Macedonia,OH,"American (Traditional)",9
Macedonia,OH,Cajun/Creole,1
Macedonia,OH,Chinese,3
Macedonia,OH,Italian,4
Macedonia,OH,Japanese,2
Macedonia,OH,Mexican,4
Madison,WI,"American (New)",127
Madison,WI,"American (Traditional)",159
Madison,WI,Cajun/Creole,8
Madison,WI,Cantonese,4
Madison,WI,Chinese,67
Madison,WI,Cuban,2
Madison,WI,Ethiopian,2
Madison,WI,French,8
Madison,WI,Greek,14
Madison,WI,Halal,5
Madison,WI,Indian,21
Madison,WI,Indonesian,4
Madison,WI,Italian,69
Madison,WI,Japanese,34
Madison,WI,Korean,6
Madison,WI,Malaysian,2
Madison,WI,Mexican,95
Madison,WI,"Middle Eastern",12
Madison,WI,Pakistani,11
Madison,WI,Peruvian,8
Madison,WI,Thai,26
Madison,WI,Turkish,1
Madison,WI,Vietnamese,8
Mahomet,IL,"American (New)",1
Mahomet,IL,"American (Traditional)",9
Mahomet,IL,Chinese,2
Mahomet,IL,Italian,2
Mahomet,IL,Korean,1
Mahomet,IL,Mexican,3
Mahomet,IL,Thai,1
Malton,ON,Italian,1
Mansfield,IL,"American (Traditional)",1
Mantua,OH,"American (Traditional)",2
Mantua,OH,Italian,1
Maple,ON,"American (Traditional)",2
Maple,ON,Cajun/Creole,1
Maple,ON,Chinese,4
Maple,ON,Greek,1
Maple,ON,Halal,1
Maple,ON,Italian,5
Maple,ON,Japanese,1
Maple,ON,"Middle Eastern",1
Maple,ON,Thai,2
"Maple Heights",OH,"American (New)",2
"Maple Heights",OH,"American (Traditional)",2
"Maple Heights",OH,Chinese,2
"Maple Heights",OH,Mexican,1
Markham,ON,"American (New)",6
Markham,ON,"American (Traditional)",26
Markham,ON,Cajun/Creole,1
Markham,ON,"Canadian (New)",32
Markham,ON,Cantonese,2
Markham,ON,Chinese,247
Markham,ON,French,7
Markham,ON,Greek,9
Markham,ON,Halal,15
Markham,ON,Indian,30
Markham,ON,Italian,34
Markham,ON,Japanese,93
Markham,ON,Korean,33
Markham,ON,Malaysian,6
Markham,ON,Mexican,5
Markham,ON,"Middle Eastern",7
Markham,ON,Pakistani,6
Markham,ON,Peruvian,2
Markham,ON,Singaporean,2
Markham,ON,Thai,26
Markham,ON,Vietnamese,32
Mascouche,QC,Italian,2
Mattews,NC,Japanese,1
Mattews,NC,Korean,1
Matthews,NC,"American (New)",18
Matthews,NC,"American (Traditional)",34
Matthews,NC,Cajun/Creole,2
Matthews,NC,Chinese,19
Matthews,NC,French,1
Matthews,NC,Greek,3
Matthews,NC,Indian,2
Matthews,NC,Italian,13
Matthews,NC,Japanese,8
Matthews,NC,Korean,2
Matthews,NC,Mexican,16
Matthews,NC,"Middle Eastern",3
Matthews,NC,Peruvian,1
Matthews,NC,Thai,1
Matthews,NC,Vietnamese,1
Mayfield,OH,"American (New)",1
Mayfield,OH,Indian,1
Mayfield,OH,Italian,1
"Mayfield Heights",OH,"American (New)",7
"Mayfield Heights",OH,"American (Traditional)",11
"Mayfield Heights",OH,Cantonese,1
"Mayfield Heights",OH,Chinese,4
"Mayfield Heights",OH,Greek,1
"Mayfield Heights",OH,Indian,2
"Mayfield Heights",OH,Italian,4
"Mayfield Heights",OH,Japanese,2
"Mayfield Heights",OH,Mexican,4
"Mayfield Village",OH,"American (Traditional)",1
"Mayfield Village",OH,Italian,1
"Mayfield Village",OH,"Middle Eastern",1
"Mc Donald",PA,Chinese,1
"Mc Farland",WI,"American (Traditional)",2
"Mc Farland",WI,Chinese,1
"Mc Farland",WI,Italian,2
"Mc Kees Rocks",PA,"American (Traditional)",2
"Mc Kees Rocks",PA,Chinese,2
"Mc Murray",PA,Chinese,1
"Mc Murray",PA,Italian,1
McCandless,PA,"American (New)",1
"McCandless Township",PA,"American (Traditional)",1
McDonald,PA,"American (Traditional)",1
McFarland,WI,"American (Traditional)",1
McFarland,WI,Italian,1
McFarland,WI,Mexican,2
"McKees Rocks",PA,"American (New)",1
"McKees Rocks",PA,"American (Traditional)",4
"McKees Rocks",PA,Italian,6
"McKees Rocks",PA,Mexican,2
McKeesport,PA,"American (New)",3
McKeesport,PA,"American (Traditional)",4
McKeesport,PA,Cajun/Creole,1
McKeesport,PA,Chinese,1
McKeesport,PA,Greek,1
McKeesport,PA,Italian,4
McKeesport,PA,Mexican,3
McMasterville,QC,Chinese,1
McMurray,PA,"American (New)",6
McMurray,PA,"American (Traditional)",4
McMurray,PA,Greek,2
McMurray,PA,Italian,5
McMurray,PA,Mexican,1
Medina,OH,"American (New)",13
Medina,OH,"American (Traditional)",23
Medina,OH,Chinese,5
Medina,OH,Greek,1
Medina,OH,Italian,6
Medina,OH,Japanese,1
Medina,OH,Mexican,7
Medina,OH,"Middle Eastern",1
"Medina Township",OH,"American (Traditional)",2
Mentor,OH,"American (New)",17
Mentor,OH,"American (Traditional)",32
Mentor,OH,Chinese,7
Mentor,OH,Greek,3
Mentor,OH,Italian,25
Mentor,OH,Japanese,4
Mentor,OH,Mexican,12
Mentor,OH,"Middle Eastern",1
Mentor,OH,Thai,4
"Mentor On The Lake",OH,"American (Traditional)",1
"Mentor On the Lake",OH,Italian,1
"Mentor On The Lake",OH,Mexican,1
Mentor-on-the-Lake,OH,"American (New)",1
Mentor-on-the-Lake,OH,Chinese,3
Mentor-on-the-Lake,OH,Italian,1
Mentor-on-the-Lake,OH,Japanese,1
Mentor-on-the-Lake,OH,Mexican,2
Mesa,AZ,"American (New)",101
Mesa,AZ,"American (Traditional)",180
Mesa,AZ,Cajun/Creole,6
Mesa,AZ,Cantonese,1
Mesa,AZ,Chinese,88
Mesa,AZ,Cuban,3
Mesa,AZ,French,2
Mesa,AZ,Greek,16
Mesa,AZ,Halal,2
Mesa,AZ,Indian,5
Mesa,AZ,Italian,73
MESA,AZ,Japanese,32
Mesa,AZ,Korean,12
Mesa,AZ,Mexican,176
Mesa,AZ,"Middle Eastern",4
Mesa,AZ,Pakistani,2
Mesa,AZ,Peruvian,4
Mesa,AZ,Thai,26
MESA,AZ,Vietnamese,31
"Middleburg Heights",OH,"American (New)",8
"Middleburg Heights",OH,"American (Traditional)",7
"Middleburg Heights",OH,Italian,6
"Middleburg Heights",OH,Japanese,1
"Middleburg Heights",OH,Mexican,2
"Middleburg Heights",OH,Thai,1
"Middleburg Heights",OH,Vietnamese,1
Middlefield,OH,"American (New)",2
Middlefield,OH,"American (Traditional)",2
Middlefield,OH,Chinese,2
Middlefield,OH,Italian,2
Middlefield,OH,Mexican,1
Middleton,WI,"American (New)",11
Middleton,WI,"American (Traditional)",24
Middleton,WI,Cajun/Creole,1
Middleton,WI,Chinese,8
Middleton,WI,French,1
Middleton,WI,Indian,2
Middleton,WI,Italian,11
Middleton,WI,Japanese,2
Middleton,WI,Korean,1
Middleton,WI,Mexican,11
Midland,NC,"American (New)",1
Midland,NC,"American (Traditional)",2
Millvale,PA,"American (New)",2
Millvale,PA,"American (Traditional)",1
Millvale,PA,Italian,1
Millvale,PA,Mexican,1
"Mint  Hill",NC,Italian,1
"Mint Hill",NC,"American (New)",1
"Mint Hill",NC,"American (Traditional)",4
"Mint Hill",NC,Chinese,2
"Mint Hill",NC,Italian,1
"Mint Hill",NC,Mexican,2
Mirabel,QC,"American (Traditional)",1
Mirabel,QC,"Canadian (New)",1
Mirabel,QC,Japanese,1
Missisauga,ON,"Canadian (New)",2
Missisauga,ON,Italian,1
Mississauga,ON,"American (New)",10
Mississauga,ON,"American (Traditional)",100
Mississauga,ON,Cajun/Creole,2
Mississauga,ON,"Canadian (New)",95
Mississauga,ON,Cantonese,1
Mississauga,ON,Chinese,127
Mississauga,ON,Ethiopian,1
Mississauga,ON,French,6
Mississauga,ON,Greek,26
Mississauga,ON,Halal,76
Mississauga,ON,Indian,119
Mississauga,ON,Indonesian,2
Mississauga,ON,Italian,78
Mississauga,ON,Japanese,52
Mississauga,ON,Korean,26
Mississauga,ON,Malaysian,2
Mississauga,ON,Mexican,33
Mississauga,ON,"Middle Eastern",83
Mississauga,ON,Pakistani,46
Mississauga,ON,Singaporean,2
Mississauga,ON,Thai,55
Mississauga,ON,Turkish,4
Mississauga,ON,Vietnamese,55
