"","Average Stars","Number of Check-ins","Average Sentiment"
"1124",4,216,0.180702679238107
"1125",3.5,10,0.251694139194
"1127",4,14,0.245196187770108
"1128",3.5,12,0.305661993493143
"1129",3,61,0.165414853924795
"1131",2,25,-0.006300674609475
"1132",4,438,0.237812699852526
"1133",3.5,150,0.134316678265749
"1134",4,74,0.126923293999911
"1135",3.5,152,0.104390382698747
"1136",2.5,20,0.142381806257855
"1137",4.5,40,0.235132591481618
"1138",4,8,0.295755603655556
"1140",4,88,0.289278419327442
"1141",3,268,0.167985111372979
"1143",4,15,0.309230426772107
"1144",3.5,113,0.152411681362976
"1145",3.5,39,0.222975391243645
"1146",3.5,350,0.191114121875292
"1147",2.5,5,0.090909090909
"1148",3.5,7,0.09034029304022
"1151",3.5,147,0.241367704677123
"1153",1.5,9,0.0592283950619
"1154",3.5,9,0.10218581780542
"1155",4,132,0.259842535564673
"1156",1,6,-0.132430555555433
"1159",2,3,0.1429916760196
"1160",4,4,0.351388888889
"1161",3,54,0.104034695552592
"1162",2.5,144,0.0894143338618193
"1163",2,7,-0.2138392857143
"1164",4.5,51,0.283172924925082
"1165",3,53,0.139996824944591
"1166",5,15,0.25879516317025
"1167",3,177,0.160916420602382
"1168",4,171,0.182701664226593
"1169",2.5,29,0.22030773516308
"1170",4.5,16,0.29212118934657
"1171",2,5,0.164976689977
"1172",4.5,154,0.301527841288649
"1173",3.5,29,0.19663997073032
"1174",4.5,36,0.341570808151193
"1175",3,265,0.154027030696723
"1176",3,354,0.197725867472769
"1177",3.5,290,0.2211349587272
"1178",3.5,132,0.244664659556196
"1182",2.5,65,0.120035318194226
"1183",1.5,1,-0.00430555555555
"1184",4.5,298,0.301985856386152
"1185",3,27,0.198637278576627
"1186",4,10,0.21348737874775
"1190",2,5,0.00997199675332499
"1191",4.5,72,0.200966565128257
"1193",3,3,0.02707484513734
"1194",4,100,0.214796503105663
"1195",4,5,0.0708051378446
"1196",4,35,0.260363520864473
"1197",3.5,1146,0.211165453167377
"1198",3.5,360,0.165702759097639
"1199",3.5,298,0.205337532547381
"1200",2.5,14,0.111747280497277
"1201",4.5,14,0.45
"1203",3.5,79,0.0497816876422371
"1204",3.5,65,0.235764156526197
"1205",3.5,211,0.171798780619104
"1206",2.5,13,0.058467182990575
"1208",4,48,0.264857579716809
"1209",3,255,0.144889306287837
"1210",3.5,1,0.161378042328
"1211",3.5,1,0.141349206349
"1212",3.5,49,0.153203317137898
"1214",4,74,0.178379330781896
"1217",4,6,0.211738016613185
"1218",3.5,82,0.196029176421164
"1219",4.5,94,0.294414381572079
"1221",3.5,188,0.193296233491548
"1222",2.5,76,0.183047390996619
"1223",4,61,0.282014207466398
"1225",4,94,0.255389268705308
"1226",3,29,0.144311873129657
"1227",3.5,7,0.35366142376155
"1228",4.5,19,0.249430323231701
"1229",3.5,343,0.167256132291173
"1230",3.5,24,0.124627625066882
"1231",4,4,0.2707936507935
"1233",4.5,120,0.240811506917932
"1234",3,172,0.121444608458478
"1235",3.5,34,0.28752275017878
"1236",3.5,5,0.219742063492048
"1237",3.5,4,-0.239781746031667
"1238",4.5,44,0.289188256769435
"1239",4,13,0.193536444175967
"1241",3.5,9,0.294652749594
"1242",4,1511,0.174370508174697
"1243",3.5,127,0.179268750343351
"1244",2.5,4,0.0882164502166
"1245",3,9,0.167222222222333
"1246",4,10,0.1911291922364
"1247",3.5,81,0.189187518125305
"1248",2,90,0.140422933547983
"1250",2.5,14,0.04735500949344
"1251",3,94,0.0505423543704806
"1252",3,44,0.223664045135393
"1253",3.5,47,0.241638604935891
"1254",3,207,0.155113344837342
"1255",1.5,2,0.244163860831
"1256",4,60,0.267835553529721
"1258",4,3,0.156666666667
"1259",3,147,0.169464103856279
"1260",3.5,32,0.130340868875218
"1262",3.5,17,0.273450073572553
"1263",3,50,0.15142698363615
"1265",3.5,8,0.226183016893106
"1266",4,22,0.109430800165286
"1267",3.5,737,0.214772942608282
"1268",3,68,0.151367136150721
"1269",3.5,3,0.0186931818182
"1271",3.5,18,0.224313413168094
"1272",3.5,768,0.183974170459498
"1273",2.5,18,0.0765370144901208
"1274",3.5,14,0.1193134920634
"1275",4,465,0.312233036552242
"1277",4,108,0.275209556534125
"1278",3.5,278,0.168254722507453
"1279",3.5,287,0.200796651818861
"1280",3.5,201,0.21148184459405
"1281",3,121,0.1315701732641
"1282",2.5,8,0.079174738060425
"1283",4,94,0.239648587782892
"1284",4,18,0.269765287260758
"1285",3,42,0.130741449202373
"1286",4,1,0.301132586367952
"1290",2.5,36,0.145323321485808
"1292",4,250,0.220623254840997
"1294",4,296,0.24420333632481
"1296",3.5,89,0.17432659643407
"1297",4,25,0.275517465668126
"1298",3.5,5,0.271454097600004
"1299",3,69,0.112787242588402
"1300",4,1284,0.269878982668076
"1301",4,67,0.314585604499326
"1304",3.5,29,0.119538590708197
"1305",3.5,2,0.1163352272725
"1307",3,206,0.177565152825463
"1309",3,30,0.126319467451471
"1310",3,82,0.214470230934324
"1311",3.5,163,0.254315879491489
"1313",3.5,119,0.223541019947817
"1315",3.5,59,0.173848644462053
"1316",3,14,0.171234829050545
"1319",3.5,78,0.226454420158305
"1320",3.5,193,0.209925701534456
"1321",4,14,0.31885454792446
"1322",3,27,0.126159568510727
"1323",4.5,24,0.226256835196089
"1324",4,4,0.244190569325333
"1325",3.5,27,0.41394230769225
"1327",2.5,6,0.1379166666665
"1328",2,12,0.0925969722902333
"1329",3,56,0.151397552869387
"1330",3,88,0.0813431075436471
"1331",4,226,0.244861057260663
"1333",3.5,312,0.199156694599774
"1334",4,20,0.320239827756438
"1335",3.5,23,0.142321563408081
"1336",3.5,466,0.143847619960701
"1338",4,24,0.246294496257507
"1339",3.5,8,0.182678837072271
"1343",4,3,0.3479166666665
"1344",4,242,0.196152888231625
"1345",3.5,5,-0.334702380952333
"1347",5,615,0.315962118806772
"1348",3.5,667,0.12544826937675
"1349",3.5,272,0.254760063716306
"1350",2.5,5,0.170160698676223
"1351",3.5,16,0.141508075258071
"1352",4,146,0.310378227751164
"1353",4,69,0.213885130692702
"1355",3,14,0.185003549904853
"1356",3.5,2,0.154583333333333
"1357",4,186,0.251159896401818
"1358",4,39,0.307754279587535
"1359",3.5,20,0.209241633681192
"1360",2.5,76,0.164806082255521
"1362",4.5,12,0.3067950937952
"1364",4.5,2,0.17852980352985
"1365",3.5,226,0.163161275504165
"1366",4.5,22,0.288696436246391
"1367",3.5,278,0.241568372164716
"1369",4.5,44,0.2415775462965
"1373",3.5,25,0.209207600210182
"1375",3.5,14,0.0894179894179533
"1376",3.5,6,0.2886653503995
"1377",3.5,220,0.189869196523843
"1378",2.5,186,0.118344450208576
"1379",5,2,0.323564814815
"1381",3,66,0.17646329365073
"1383",4,81,0.299006576404661
"1384",3.5,6,0.165319444444667
"1385",2.5,15,-0.000225745578295712
"1386",3.5,96,0.303681818181778
"1387",4,90,0.258059712774155
"1388",2.5,248,0.105086979042004
"1389",3,78,0.210764679124007
"1390",4,12,0.260076223115473
"1391",3.5,121,0.258060808920662
"1393",2.5,85,0.0810409009715333
"1395",3,14,0.212726866815133
"1396",4.5,26,0.308276648715
"1397",3.5,18,0.262960910277067
"1398",4,41,0.239932462565708
"1400",3.5,169,0.23786822082137
"1401",3.5,659,0.135961711775091
"1402",4,78,0.28279163209475
"1403",3,128,0.158189414888571
"1406",2,18,-0.171358024691433
"1407",4,87,0.271184338415872
"1408",3.5,45,0.176498674636666
"1409",2.5,48,0.218999726137613
"1412",3.5,618,0.238138578648001
"1413",4,412,0.204413522103389
"1414",3.5,144,0.161095110494391
"1415",3,40,0.111439269357946
"1416",2.5,216,0.117759797379612
"1419",2,41,-0.06945231845828
"1421",4,245,0.249225488707146
"1423",3.5,37,0.231643208023624
"1424",3,104,0.186923329596085
"1427",4,15,0.1970149946875
"1428",2.5,44,0.02391323528111
"1430",4,25,0.22646786934061
"1431",3,55,0.1878100391543
"1432",5,2,0.3569444444445
"1433",4.5,21,0.23365173217426
"1434",3.5,76,0.224848406032636
"1435",3.5,416,0.205223919730461
"1439",3.5,170,0.164373826820976
"1442",2,17,0.01267416298902
"1443",4,4,0.0519011544011833
"1444",3,276,0.191813011041047
"1446",3.5,143,0.140652973917251
"1447",3,108,0.10841991815
"1448",4,10,0.314490041208787
"1449",3.5,48,0.124973090354466
"1450",3,37,0.0172603528914792
"1451",3,48,0.176575116681867
"1452",3.5,13,0.145193198005643
"1454",2.5,6,0.2227889610391
"1455",4,5,0.273912837197667
"1457",4,3,0.25244349551425
"1459",4,85,0.177162377624135
"1460",4,23,0.324319413022111
"1461",3,81,0.1448569350607
"1462",4,1,0.299339415114
"1463",4,13,0.158571260163513
"1464",1.5,8,0.0868146278673064
"1465",3.5,125,0.206338627363822
"1466",3,63,0.113292886011753
"1467",4,71,0.262520918017923
"1468",2.5,3,0.124994810084125
"1469",4.5,108,0.253661492672983
"1470",3.5,100,0.0730328420070357
"1471",2.5,20,0.0755950428712445
"1472",2,44,0.0117624825020833
"1474",3,446,0.162093793947261
"1476",2.5,151,0.0899105871002132
"1478",4,128,0.320165359912286
"1481",3,11,0.204294947777086
"1482",2.5,38,0.177614247001455
"1484",4,1141,0.285341004943982
"1485",3,116,0.152947752016167
"1486",3,1224,0.145521435054604
"1487",2.5,73,0.0910798015986862
"1489",3,304,0.0576262146779285
"1490",4,90,0.0563214956611187
"1491",4.5,46,0.300766949063027
"1496",2.5,2,-0.001726190476192
"1497",4.5,41,0.320684407171427
"1499",4.5,153,0.270572567159766
"1500",4,832,0.21869965413099
"1502",4,11,0.380350083944
"1504",4,992,0.21047240616821
"1505",4.5,117,0.290879524918565
"1507",3,294,0.207307550175672
"1508",1.5,1,0.07580737125769
"1509",3.5,4,0.17018768731276
"1510",3.5,112,0.167010453838409
"1511",4,1,0.086875
"1512",3.5,15,0.308125
"1513",2.5,1,0.00555555555556
"1514",3.5,299,0.207243264500073
"1516",3.5,79,0.19643144887511
"1518",4.5,660,0.155246823331647
"1519",4,17,0.18095759517865
"1520",2.5,4,0.0181288930975714
"1522",2,21,-0.233333333333
"1523",3.5,121,0.18404002202259
"1526",3,10,0.166103896104
"1527",4,75,0.247452367295945
"1528",3,8,0.18494724164716
"1529",4,698,0.225537441366883
"1531",4,63,0.0421361187446214
"1532",3,85,0.161768110299355
"1533",4,164,0.262167053605929
"1535",4.5,25,0.2733341162552
"1537",2.5,28,0.0566670089087429
"1539",4,111,0.287130330440932
"1540",4,219,0.196974079751827
"1542",4,1234,0.249180322292808
"1544",4.5,2,0.225266858976425
"1545",3.5,184,0.189237022075724
"1546",3.5,480,0.238180548956879
"1547",3.5,1186,0.161405264893923
"1548",2,2,-0.0229222408376571
"1549",3.5,135,0.22436435607205
"1550",3,74,0.11225650126031
"1552",3.5,516,0.198728272513848
"1555",4,253,0.221290741911647
"1557",2,32,-0.00842416412798751
"1559",3,1,0.112852733686233
"1560",3,96,0.253995768420405
"1562",3,44,0.15378090077345
"1563",2.5,9,0.0274883552661556
"1564",3.5,199,0.192788271749756
"1565",3.5,19,0.24371290376287
"1566",2.5,2,0.1369231150792
"1569",2,7,0.0741910902052077
"1570",3.5,138,0.146812324936052
"1571",4,270,0.213792059199359
"1572",4,234,0.173197717883096
"1573",3,20,0.1937225078
"1574",4,72,0.2979420250243
"1575",4,54,0.200000168298259
"1576",4,313,0.206248211072129
"1577",3.5,23,0.225104472619977
"1579",3.5,53,0.227441975487808
"1580",3,75,0.136080025847862
"1581",3.5,48,0.252260887751116
"1582",2,20,0.113443932497325
"1583",3,71,0.132056094321194
"1584",3,24,0.1686652236652
"1588",3,25,0.049642857143
"1590",3.5,864,0.202140747601561
"1591",4.5,1324,0.254715637470422
"1592",4.5,6,0.13829390222554
"1594",3,7,0.114564973716614
"1595",3,48,0.129803760393048
"1596",3,13,-0.0340061558811333
"1597",3.5,114,0.0474979510738221
"1599",3,346,0.189200925963232
"1600",3.5,129,0.264415961708424
"1601",4.5,32,0.22558569550247
"1603",3.5,42,0.0115497493686783
"1604",2.5,21,0.153486382031613
"1605",4,175,0.207743135959034
"1606",3.5,145,0.222277746358033
"1608",4,70,0.238351746581338
"1609",4.5,17,0.124638845281714
"1610",3.5,3,0.1388376235728
"1611",3.5,140,0.204573727460834
"1612",5,14,0.336524761788394
"1613",3,20,0.138585923517443
"1614",3,190,0.174319936557248
"1615",4,2,0.318245710784337
"1616",4.5,24,0.296026932723429
"1617",3.5,146,0.220146251230773
"1618",1.5,10,-0.0135010196207833
"1619",2.5,41,0.0174531024531167
"1620",4,7,0.342531256221714
"1621",1.5,3,0.09986127667295
"1622",3,43,0.166126765876813
"1623",3.5,105,0.24370005693674
"1624",3,177,0.186208771060146
"1625",4,23,0.275477469994737
"1626",2,7,0.252268518519
"1628",4,10,0.48875
"1629",3,149,0.15382167910626
"1630",4,240,0.281690737177315
"1631",2.5,138,0.108184665730562
"1633",4,72,0.314074952897885
"1634",3.5,17,0.0868596681097667
"1636",4.5,23,0.248960771227558
"1638",4,29,0.261824927605746
"1640",3,10,0.0561507936508667
"1641",3.5,329,0.221602252493885
"1643",4.5,335,0.163856003300249
"1644",3,28,0.2221460556519
"1648",4,5,0.194957010582
"1652",3,65,0.157614729926379
"1654",4,65,0.268840780965396
"1655",3.5,25,0.124654774788685
"1656",3.5,116,0.223413323448603
"1657",4.5,7,0.170974025973967
"1659",3.5,807,0.152123029341552
"1661",5,45,0.34381026716518
"1662",3.5,46,0.171805455818247
"1663",1.5,2,-1.85037170771e-17
"1664",3.5,11,0.185895246773883
"1665",4,1,0.315491101491333
"1666",4,195,0.250022642065849
"1667",3.5,307,0.223494912362279
"1669",3.5,46,0.187699410628694
"1670",4,18,0.27004412253016
"1671",5,1,0.1975
"1673",3.5,36,0.230457772003879
"1674",3,6,0.217315388224186
"1675",3.5,19,0.0874496643354857
"1676",5,4,0.259556389123692
"1678",3,20,0.0347634704992925
"1679",4,41,0.283213176227973
"1680",3,23,0.164542339999426
"1681",3,73,0.162697312013184
"1682",2.5,10,0.121220464413944
"1683",3.5,15,0.09356921682815
"1684",3.5,1,0.0406396103896
"1685",2.5,95,0.153020759152021
"1686",3,10,0.199219328791991
"1689",2,7,0.0492777777776667
"1690",3,52,0.130827228681592
"1691",4,14,0.22626571970475
"1692",3,153,0.130150131130552
"1693",3.5,13,0.137496109555
"1694",3,57,0.152538881633961
"1695",4,63,0.181100686696627
"1697",4,17,0.350887511989722
"1698",3,357,0.176830523213732
"1701",4,184,0.211529693564632
"1702",2.5,31,0.04998665437876
"1703",2,114,0.107923702918079
"1704",2.5,72,0.185364864213196
"1705",2,21,0.06160714285716
"1706",3.5,52,0.0489396166587067
"1707",3.5,44,0.265802822226371
"1708",4,1138,0.310123619574349
"1709",4.5,14,0.29679468798495
"1710",4,406,0.248198992754859
"1711",3.5,85,0.140338254367798
"1712",2,5,0.0656487522892375
"1713",4,80,0.235124489206476
"1714",4,37,0.303879457671256
"1715",4,282,0.25806647952017
"1716",3.5,162,0.202383055650706
"1717",2,12,-0.0198474916283471
"1718",3.5,578,0.219703874649944
"1719",4.5,37,0.276715144476982
"1720",2.5,50,0.0805442474192238
"1721",2.5,234,0.147155677640156
"1722",3.5,89,0.154696041120773
"1724",4.5,73,0.288236449490167
"1726",3.5,108,0.173022878882737
"1728",2.5,26,0.1338888888885
"1729",2,10,-0.0344849774613222
"1730",3.5,47,0.158198909765762
"1731",3.5,184,0.266434232370274
"1732",4,212,0.2468037907741
"1733",4,2,0.142478505290983
"1734",3.5,14,0.311555424373727
"1736",4,75,0.178534994712004
"1738",4,148,0.245014267109675
"1742",3.5,138,0.216783064209179
"1743",2.5,4,0.09403856431052
"1745",2.5,35,0.0246074180449714
"1746",2,19,0.00848743622031667
"1748",4,2,0.31457010582011
"1750",3,10,0.08736293859665
"1751",4,4,0.114921202760725
"1752",3.5,45,0.136503880116843
"1753",4,38,0.204507621567087
"1754",2,1,0.100555753968142
"1755",3,28,0.132455359455333
"1756",3.5,368,0.142598874519793
"1757",3,171,0.187667433969879
"1760",3,20,0.113187488195533
"1761",3,38,0.171531771799814
"1762",5,1,0.125925925925933
"1763",3,56,0.161266372188959
"1764",4,107,0.242681079614193
"1765",3,52,0.107347826416923
"1766",4,26,0.22365566695234
"1767",4.5,789,0.17394815417615
"1768",2.5,8,0.107018518518633
"1769",4.5,112,0.31574781904481
"1770",3.5,23,0.230068143029918
"1771",2,8,0.1582908163265
"1772",3.5,18,0.208338678954582
"1775",4,45,0.268306228827375
"1776",4,840,0.137321070759958
"1777",2.5,14,0.0900880962838
"1778",4,84,0.319413473773371
"1782",3.5,546,0.258412653061767
"1783",3.5,212,0.177455738821109
"1784",3,44,0.171484701514562
"1786",4,13,0.210484492982
"1787",4,67,0.223575836359159
"1788",4,230,0.278908472871766
"1789",4,21,0.1670837038109
"1790",3,3,0.365625
"1791",3,52,0.081490767621313
"1792",3,5,0.194914965986425
"1793",3,16,0.127777777778
"1795",2.5,15,0.1197486772487
"1796",3.5,1,0.1007034632035
"1797",3,20,0.172144379623562
"1798",3.5,30,0.0892898648969714
"1799",3,325,0.190103735537905
"1801",3.5,4,0.1266828606441
"1802",4.5,168,0.250373522430273
"1803",4,16,0.110954105126796
"1804",3,2,0.126330500774911
"1806",4,22,0.0923119076688857
"1807",4.5,36,0.364311099913168
"1808",3.5,5,0.189340384322833
"1809",2.5,30,0.107936343959
"1810",4,4,0.170893485599386
"1812",2,3,0.289264560975
"1814",3,11,0.1319031924938
"1816",4,8,0.368130291005329
"1818",3.5,30,0.20155
"1819",4.5,26,0.228554093601683
"1821",3,29,0.0556893708144
"1822",3.5,340,0.239130961931547
"1823",3,112,0.112261340122293
"1824",3.5,11,0.184563257344508
"1826",4,68,0.223579867553071
"1827",3.5,50,0.153527460724459
"1828",3.5,24,0.14300652146676
"1829",4.5,17,0.174071306750182
"1831",4.5,42,0.358997113997129
"1832",3,83,0.208037237059292
"1833",4,1682,0.247584777332494
"1834",3,4,0.020648148148
"1835",3,36,0.156721918150351
"1836",3,5,0.110623762604633
"1837",3.5,18,0.191663318074757
"1838",4,5,0.135974094027611
"1839",3,15,0.137212432628973
"1840",4,6,0.1739944444444
"1841",3,40,0.181883314110378
"1843",3.5,547,0.151138075113953
"1844",2.5,8,-0.052025462962975
"1848",3,50,0.238480292768957
"1849",2.5,54,0.105633136887981
"1850",4,79,0.286477934150943
"1851",3.5,256,0.188681492168286
"1852",3.5,603,0.224866641624592
"1853",3.5,108,0.185120012152892
"1854",3,282,0.156369372850629
"1855",3.5,160,0.212252766538312
"1856",3,102,0.127091455955327
"1857",4,642,0.264919087782481
"1858",3,374,0.0971932215460027
"1859",3.5,107,0.0596983928157824
"1860",4,48,0.0706877421808369
"1861",3,32,0.125452441077375
"1862",3.5,148,0.21893942027143
"1863",3.5,32,0.164298033881639
"1864",3.5,188,0.264866956458452
"1865",4.5,437,0.281232083658515
"1866",3.5,368,0.241918954659308
"1867",3,94,0.0719264896224545
"1870",3.5,201,0.184906164664387
"1871",3.5,10,0.174395026126367
"1873",3.5,82,0.145506351440552
"1874",2,12,0.0826505545736714
"1875",3.5,75,0.137603620207485
"1876",3.5,218,0.210254804996335
"1877",2.5,60,0.149673202614333
"1879",3.5,151,0.135592121665918
"1881",3,316,0.166962953887023
"1882",3,364,0.137924233365534
"1883",3,9,0.055359394955425
"1884",3.5,142,0.190958056206151
"1886",3.5,79,0.238779972334019
"1887",2.5,5,-0.0570498930633
"1888",4,23,0.188099301597444
"1891",4,85,0.213195601436615
"1892",4,86,0.267965360877014
"1893",4.5,24,0.320212372239422
"1894",1.5,3,-0.0863174714329857
"1895",3.5,1,0.165476190476
"1896",3,58,0.0893779956426667
"1897",2.5,6,-0.0236990496624714
"1898",1.5,1,0.0221533250699667
"1899",3.5,768,0.242727314262056
"1901",3.5,7,0.162058494167875
"1902",2,4,-0.123562378167667
"1903",4,240,0.212801311824457
"1904",2.5,9,0.0953517101285
"1906",3,45,0.215083935052208
"1907",3,27,0.143216243762542
"1908",3.5,59,0.121775999980036
"1909",2.5,45,0.0624636516660325
"1910",3,15,0.1674935281637
"1911",3,73,0.111003114454029
"1912",3.5,78,0.240227137397968
"1913",3,18,0.0740233691152167
"1914",5,2,0.268281024531
"1917",3.5,43,0.169387588148996
"1918",4,18,0.304449691722571
"1919",3,400,0.14035216987061
"1920",4,15,0.357845638928911
"1922",2.5,5,0.192857142857
"1923",3.5,66,0.0904847821751727
"1924",3.5,77,0.218728664344029
"1926",3.5,14,0.217207753105482
"1927",3.5,69,0.219862531440069
"1928",3,27,-0.015300614965721
"1930",4,172,0.245220363957283
"1932",3.5,14,0.221116029436511
"1933",2,7,0.135689922832142
"1935",3.5,150,0.250899447706728
"1936",2,414,0.0614874054531469
"1937",2.5,1,0.0170454545455
"1938",3,468,0.154186762113098
"1939",3,204,0.1629035389511
"1940",3.5,73,0.182002621087202
"1941",4.5,10,0.180835238956917
"1942",3,63,0.136976361550837
"1944",4,11,0.368520171957667
"1945",4.5,4,0.398958333333333
"1947",4,64,0.245085515641567
"1948",3.5,108,0.218467108030231
"1951",3.5,171,0.23213604461035
"1952",3.5,43,0.261769050380692
"1953",3,432,0.142272717239931
"1954",3.5,385,0.21620815567295
"1955",2.5,13,0.0554231136797077
"1956",3,49,0.114973488013203
"1957",4,9,0.236559066859
"1958",3.5,68,0.1676592909001
"1959",1.5,14,-0.0334768318102667
"1960",4,228,0.289444303936462
"1961",1.5,27,-0.0203146631642176
"1962",3,24,0.098210617060675
"1963",4,4,0.302601250693006
"1965",3.5,8,0.29079424762345
"1967",3,9,0.168784722222175
"1968",3.5,130,0.187003263405979
"1969",3.5,338,0.238128038471221
"1970",4.5,348,0.266901957113597
"1971",3,4,0.1425623582769
"1972",3,4,0.0816435185187
"1973",3.5,7,0.041594608858
"1975",3,4,0.18133074312055
"1976",2.5,3,0.107972454133225
"1977",2,5,-0.035524755417
"1978",3.5,14,0.22409598184752
"1982",3.5,39,0.347732360341445
"1983",3,144,0.179286010216692
"1985",2,96,0.071797384550876
"1987",3,89,0.141972117064664
"1988",2.5,3,0.175175942884
"1989",2.5,7,0.12947464225575
"1990",3.5,652,0.190002528950231
"1991",4,132,0.195204780185017
"1992",2.5,28,0.2125
"1993",4,214,0.267390758812928
"1994",3.5,8,0.117134353741514
"1995",3,68,0.159997705217789
"1996",4,162,0.273044282106779
"1999",4,102,0.248723823877794
"2001",1.5,1,-0.191401560342473
"2002",4.5,37,0.28883994709001
"2003",3,7,0.131969003592017
"2004",3.5,308,0.254171710920947
"2006",3,114,0.115030600116287
"2007",1.5,3,-0.402777777778
"2008",3,24,0.145437752438133
"2009",3,166,0.195049343140536
"2011",4,916,0.188439476488537
"2012",4,17,0.263917515396511
"2013",4,190,0.25740437128714
"2015",4,100,0.261340698110081
"2017",3.5,207,0.260873220845957
"2018",3,61,0.15971314694873
"2019",4.5,1,0.3893055555555
"2022",4,276,0.23567501426388
"2023",3.5,12,0.21511323051948
"2025",4,39,0.221079198351
"2026",3,8,0.137298065949867
"2027",2.5,1,0.253321850107667
"2028",3.5,1300,0.242317757825391
"2029",3,29,0.152201932034317
"2030",3.5,669,0.182995498932839
"2032",4,45,0.234145241960952
"2033",4.5,4,0.143651996152067
"2035",4.5,8,0.238876488095
"2036",4,180,0.287345705923228
"2040",3.5,76,0.258073302234702
"2041",3.5,52,0.275296382909975
"2042",4,235,0.216899701806481
"2043",3,11,0.0183918629181444
"2044",4,38,0.199695279295671
"2045",4,50,0.217930759625212
"2046",4,19,0.172147287935907
"2047",2,11,0.0921023278018269
"2048",4.5,87,0.160814920603567
"2049",4,58,0.256617916956331
"2051",4,69,0.239719464130828
"2052",3,99,-0.0065237421485887
"2053",3,58,0.137566150674478
"2054",4,830,0.217143312750286
"2055",3.5,31,0.218256651595837
"2056",2,27,0.115823015873
"2057",3,392,0.169409878058988
"2058",2,46,-0.00893621594263632
"2060",4.5,42,0.253117094808507
"2061",4,12,0.38968621399177
"2062",3.5,72,0.248246318046028
"2063",3.5,53,0.225491091609523
"2065",4,232,0.287258792861435
"2066",2.5,13,0.147635541285343
"2068",3,12,0.235134470647609
"2071",4,3,0.0934343434343
"2072",3.5,29,0.152721181790088
"2073",3,73,0.137179190431985
"2075",3.5,8,0.253130507609742
"2077",3,71,0.180115113501594
"2078",3.5,27,0.251627258860909
"2080",4.5,34,0.331781763210286
"2081",3,80,0.203759092552193
"2082",4,12,0.295584456399538
"2084",4,262,0.254018448657605
"2085",3,150,0.157647232205685
"2086",2.5,18,0.206228956229
"2087",4,707,0.223412028349982
"2088",4.5,725,0.302278352692116
"2089",4,15,0.228226200824529
"2090",4.5,12,0.284185606060471
"2091",4.5,15,0.195195309467338
"2093",4,802,0.247279290440197
"2094",2.5,224,0.136513364406399
"2096",3,21,0.175766044165353
"2097",4,29,0.279457015032732
"2098",3.5,376,0.152003585754649
"2100",2.5,25,0.000770331233046664
"2101",3.5,34,0.141316846911784
"2102",4,237,0.21234764515041
"2103",4.5,1,-0.0761874699375
"2104",2.5,58,0.153386992142476
"2105",4.5,17,0.339216771225265
"2106",4,33,0.273117176402232
"2107",3,139,0.161627973424183
"2108",3,214,0.0987582257001812
"2111",2.5,21,0.0948251179989136
"2112",4,119,0.241532796482034
"2113",4,75,0.22777869887313
"2114",3.5,608,0.227685766317356
"2115",3,140,0.118606075647178
"2116",4.5,241,0.245622164958608
"2117",3,14,0.09874167652205
"2118",4,26,0.3401923754351
"2119",3.5,206,0.238205208267759
"2120",1.5,2,-0.0961507936508
"2121",4,109,0.207878219756925
"2122",4,160,0.293636760176145
"2125",3.5,23,0.252632211924022
"2127",3.5,12,0.143878333410002
"2129",3.5,16,0.220844947739722
"2132",3,55,0.147969978721219
"2133",4,775,0.248925787433665
"2134",3.5,51,0.244223598295038
"2135",2.5,110,0.130173300417047
"2136",4.5,22,0.221913671907023
"2137",4,28,0.244622759104042
"2138",3,4,0.218766477087767
"2140",4,3,0.263193282026667
"2141",2.5,41,0.162862462612688
"2142",4,338,0.291112319738927
"2143",2.5,54,0.138542742327258
"2144",3.5,448,0.221709493094388
"2145",3,552,0.177102346658246
"2148",1.5,1,-0.322361111111
"2149",2,1,-0.0838826297158667
"2151",3.5,4,0.240349348072675
"2152",4,16,0.33269207286213
"2153",4,53,0.229880476236211
"2154",4,4,0.16034842472335
"2155",2.5,9,0.2007389485513
"2157",4,48,0.176347077090732
"2158",3,65,0.178460852129244
"2159",4,115,0.255127216575045
"2160",3.5,104,0.169578080640547
"2161",4,27,0.223350914461607
"2162",3.5,38,0.215738990142279
"2163",2.5,7,-0.0916977132105194
"2164",3.5,74,0.124130924431766
"2165",2.5,33,0.0582139070044308
"2166",2.5,39,0.0404955478063331
"2167",3.5,34,0.3138527247324
"2169",3,10,0.209444444444667
"2170",4.5,41,0.194811288506477
"2171",3.5,4,0.18199675324675
"2172",5,4,0.355476888763714
"2174",4,49,0.259516515931208
"2175",3,15,0.0930059523809667
"2178",4,414,0.274425484711519
"2179",3,63,0.28952879041048
"2180",4,205,0.225217069248279
"2182",3.5,76,0.175739779381521
"2184",3.5,1632,0.16620032958221
"2185",4.5,4,0.36954491341975
"2186",3,9,0.0533653846153333
"2187",4.5,27,0.311736803848955
"2188",4.5,17,0.300387806638
"2189",4,60,0.221333723608206
"2192",2.5,1,0.237121212121
"2193",2.5,42,0.0977365421635636
"2194",3,365,0.142557726215197
"2195",4,48,0.277755900804772
"2197",3.5,405,0.233705819032631
"2198",3.5,180,0.126656546326822
"2199",3.5,31,0.327313111271517
"2200",2,3,0.000694444444450002
"2201",4,183,0.248432691349925
"2203",3,40,0.110048442786258
"2204",4,2180,0.27246941254501
"2205",3.5,57,0.201259179188937
"2206",3.5,210,0.187331622494693
